Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
10020,3,6,4,2
18113,9,15,8,7
11041,3,35,32,3
31703,11,16,3,13
15031,7,46,46,0
5121,27,6,3,3
11006,2,34,30,4
47005,29,5,1,4
19127,8,15,6,9
1120,25,1,0,1
47004,10,10,8,2
9026,13,3,1,2
21001,8,17,11,6
18033,21,11,4,7
11010,1,41,27,14
15002,13,4,1,3
23007,3,24,13,11
32015,20,20,6,14
10010,7,24,21,3
20116,1,21,6,15
8019,22,4,4,0
18008,25,5,0,5
14030,24,8,3,5
13046,31,13,8,5
15003,55,7,3,4
4110,13,4,4,0
6032,21,3,2,1
10036,15,11,7,4
6017,30,3,1,2
18017,41,3,0,3
19041,39,0,0,0
11043,10,9,7,2
1117,22,3,1,2
32603,31,0,0,0
21311,8,47,46,1
23403,15,7,7,0
4013,21,6,4,2
21024,11,11,11,0
10163,15,14,4,10
20019,17,13,1,12
7101,45,2,0,2
8056,28,0,0,0
13041,46,3,0,3
7016,47,7,4,3
4011,32,2,1,1
12041,48,11,7,4
12108,12,51,51,0
14006,19,4,2,2
7013,21,19,11,8
21114,7,22,10,12
20202,20,11,0,11
9012,43,0,0,0
41206,25,8,4,4
13113,22,11,6,5
15061,2,20,17,3
8015,47,3,2,1
47002,2,18,6,12
2110,19,9,9,0
5019,20,5,5,0
14007,23,11,6,5
10164,23,11,9,2
11107,9,33,30,3
20103,16,9,2,7
3101,16,15,12,3
8105,28,2,2,0
2101,25,5,3,2
8049,19,3,2,1
19021,11,13,6,7
22002,19,5,4,1
20045,21,8,2,6
13019,27,9,6,3
11044,3,16,12,4
5030,47,3,1,2
9015,18,12,6,6
16031,13,6,4,2
17005,33,20,14,6
12120,38,9,6,3
18142,18,8,4,4
13110,19,3,1,2
23005,0,24,18,6
21120,13,17,8,9
48009,5,23,11,12
21009,10,36,34,2
31017,11,9,1,8
13047,38,11,4,7
4107,7,10,9,1
22403,16,7,2,5
42011,1,26,20,6
20047,27,21,19,2
21951,21,1,0,1
22103,18,4,2,2
14128,18,9,4,5
19036,22,10,4,6
31026,10,10,1,9
12129,27,8,7,1
13020,19,23,22,1
14113,31,7,3,4
20004,9,8,5,3
11031,10,28,27,1
12125,43,5,2,3
10152,19,4,1,3
10037,21,3,1,2
10004,39,2,0,2
21118,12,3,1,2
21316,13,9,0,9
19025,16,5,0,5
21029,11,16,15,1
10153,18,2,0,2
16003,25,4,2,2
16014,19,4,1,3
10110,11,16,14,2
21115,14,17,13,4
41210,11,8,0,8
42304,2,20,12,8
11109,11,11,10,1
16115,30,11,7,4
15123,17,26,26,0
16024,10,10,2,8
22604,25,9,0,9
11032,22,23,15,8
16101,26,2,1,1
8001,39,6,6,0
13121,18,27,23,4
21307,0,27,25,2
10012,10,14,14,0
13048,3,24,14,10
4003,12,9,9,0
32301,4,11,0,11
20108,17,6,2,4
13011,4,7,6,1
4001,26,4,1,3
31025,26,9,1,8
8549,21,3,3,0
23902,12,31,20,11
20007,24,25,11,14
42701,20,10,2,8
13126,8,10,2,8
8013,0,0,0,0
12043,11,28,23,5
23003,18,9,2,7
10105,15,9,6,3
17003,32,10,6,4
13109,5,16,12,4
21204,26,5,5,0
42209,1,16,9,7
21217,19,5,1,4
9114,25,4,3,1
25001,28,4,2,2
47001,2,44,38,6
10165,39,1,0,1
14010,36,2,0,2
22303,12,14,4,10
92001,10,10,0,10
